title,upvote
Should one attain a BS or BA degree in undergrad when the goal is to pursue a graduate degree in I/O Psych? Or does it not matter?,8
What are you working on? - August 2022,3
EI/EQ Training Resources,2
Managing People Help,17
BS Psych Major in undergrad. Is Minor in Neuroscience going to be useful?,11
Do you do Org Development / Org Effectiveness Work?,23
RStudio is rebranding to Posit in an effort to expand beyond the R community,22
Do you think it makes sense to have everyone employee do a public self-assesment at the end of a project and/or an others-assesment?,1
PhD advisors with emphasis on personality/intelligence?,4
"Age, salary, years of experience and job satisfaction/work life balance? How many hours do you work per week? What’s your position?",51
Is IO still worth it if I don’t want to live in big cities? How’s the job market looking due to current lay off in big companies?,6
"Bi-Weekly /r/IOpsychology Discussion - What have you been reading, and what do you think of it?",7
Break before Grad school,14
Looking for recent (or must read) articles on the IAT,2
"Difference between Job rotation, Job enlargement, and Job enrichment",8
Democracy in the Workplace,8
"Frameworks/models for ""good job"" other than Job Characteristics Model?",13
"Are the cognitive skills of ""deductive and inductive reasoning"" considered ""pattern recognition""? Or, are they separate from ""pattern recognition""?",13
Looking for measures of applicants' acceptance of test batteries,3
Certain practices more/less effective depending on cultural context?,7
U.S. Department of Justice opens probe into Maryland State Police over possible racial discrimination in hiring and promotions,19
Potential jobs with an MSc IOBP degree in the UK?,3
Excel course for People analytics role starting out?,11
Masters Thesis - Artificial Intelligence based scenarios,2
Are there studies on “work speak”/the common lying that goes on?,22
Undergrad job search,15
"Followup question on ADKAR question from earlier this week- Commenters mentioned using ADKAR with Kotter or Lewin's theories. That makes sense, but in your opinion, do clients or hiring employers care about other methods when ADKAR/Prosci is repeated everywhere as THE CERTIFICATION?",6
Early IO experience,6
Does Your School Conduct Research on Teams?,7
Books about management,2
Asking for a raise / post graduation,6
is the adkar model of change just a product? or is it,11
"Bi-Weekly /r/IOpsychology Discussion - What have you been reading, and what do you think of it?",3
How binding is a PhD in IO Psychology? Could you still teach other topics within psychology? Could you open a clinical practice?,5
"If my dream is to teach psychology at the university level, should I get a PhD in IO?",4
I-O Psychology jobs,11
Scope for IO Psychology in UK?,4
Where do you find surveys to use?,14
Recent college graduate,5
If you could do it all over... Would you still choose IO?,19
Research funding in Management Departments,1
I/O career down the drain,23
Meet up at AOM,2
Looking for citations for recruiting method,4
Prioritizing people ops,10
Factors that influence the type of occupation a person gets into,8
Job title?,20
IO psyc job prospects in Canada (Quebec and Ontario?),6
Community Funds applications are open!,1
Literature on phrasing open-ended questions / interview-questions,0
What are you working on? - July 2022,2
Jobs I/O Related (Post-grad),10
Pre I-O Jobs,16
Expectations vs Reality?,24
Questionnaire For Org About Internal Candidate’s Perceived Potential to be CEO ?,3
I-O Psychology Academic Tree,20
How useful is data science in I/O Psychology?,3
Is marketing part of my job??,12
"Bi-Weekly /r/IOpsychology Discussion - What have you been reading, and what do you think of it?",6
Best material to learn about performance appraisal/management?,8
IO certification options,12
How do I/O’s help both management AND employees at the same time?,3
Breaking into I/O Psychology with a BA in Psychology,24
I/O as a Career? Thoughts? Losing an organ derailed me,1
Performance management,3
What do you all think about mediation analyses on cross-sectional data?,10
Hi. I reviewed the rules and think this acceptable here: Completed MA I/O Psych and seeking advice for part-time consulting employment,7
Career paths with IO psych?,18
"When and why does status threat at work bring out the best and the worst in us? A temporal social comparison theory (Organizational Psychology Review, 2022)",5
"Workplace politics: how to make an executive committee comprised of ambitious, political, and competitive people work.",13
Digital Nomads,22
Get a second bachelor’s degree?,6
Assessment methods for skills,1
Wage gap…,26
IO Psych Student - Tell me what I should know!,4
What is the most frequent type of analysis you conduct at work?,3
"What are current trends, buzzwords and concepts in the applied setting?",6
What other courses would you go for?,4
"Hello, an Indian candidate here. Are there any Indian online reviews or journals equivalent to HBR and the likes?",1
how does the industry of I/O Psych treat tattoos and piercings?,3
Employee Referral Programs,10
project need responses,1
Reasoning score anology,1
"Bi-Weekly /r/IOpsychology Discussion - What have you been reading, and what do you think of it?",3
Has anyone successfully used their skills after getting a dual IO/MBA Degree?,13
I/O Career.,8
Interested in OD/OBM consulting - how essential is grad school?,5
Why does everyone hate The Chicago School of Professional Psychology?,29
(Re-)live in-person SIOP 2022 with this funny highlights reel!,5
ADVICE NEEDED: Path to IO Psych Professor,6
Breaking into I/O,5
Phd IO Psych Stipend,11
Should I take the job?,11
Have you ever helped a friend or family member with finding a suitable career for them?,13
"Associations Between Occupational Status, Support at Work, and Salivary Cortisol Levels",11
Need advice before opting for a masters.,8
Remote work posts: an evidence-based reviews,22
I know this question may sound a little dumb but what do you do everyday in the office?,25
Are there any good online resources to learn the math/statistics part of IO Psychology?,19
Non-Psych Graduate Needs Advice,2
Are there I/O psychologists that work for the video game industry?,16
What's it like working as an IO psychologist?,2
SPSS statistical data,0
Recent Master's Grad looking for job help,15
"Working on an article for common stats methods in our field, however topics on regression are all over the place.",4
What's the most revolutionary paper in io-psych in the last year?,28
What are you working on? - June 2022,1
"Bi-Weekly /r/IOpsychology Discussion - What have you been reading, and what do you think of it?",10
Book recommendations,16
Does something like the O*NET exist in other countries?,22
Normative vs. Ipsative personality tests in selection,14
Differences between IO Psychology and Software Engineering?,12
Is there research/ what is your experience with this - Perceptions of unfairness when blind selection results in non-diverse outcomes,10
Top tier company but shitty job position,5
I need suggestions for the intervention of work teams in the field of organizational development,4
"Job-seekers prefer to work for more diverse companies - ""A new study finds that job seekers are even willing to explore jobs with lower salaries when companies are more diverse.""",19
What are good companies and titles that are relevant into getting a good occupation once I obtain my Bachelors in IO Psychology?,6
IO and Data Science/Analytics Question,15
What Excel skills are most important to know for a career in this field?,21
Using the PAI as part of selection,2
What should I read to learn more about the relationship between workforce diversity and organizational performance?,10
Looking for audio book recommendations,15
Name vs program,11
Can I talk to any IO psychologists? Basic questions for someone interested in learning about how life as an IO psychologist is.,9
Resume vs. CV,1
Clinical psych masters student looking at I/O,3
Professor career outlook?,7
what do your jobs consist of daily?,23
Fall 22 PhD Admits I/O,11
Advice for activities during a gap year,8
"Bi-Weekly /r/IOpsychology Discussion - What have you been reading, and what do you think of it?",9
Case Interview for Consulting Jobs,8
Talent Acquisition and Recruitment,5
Disappointing Job Search,22
What should I do to help build my resume for IO,11
Lost undergrad in need of some guidance,2
Good Books About Team Member Archetypes?,2
Those who got their masters outside the US,1
"Is Job experience, or research experience more important for MA?",7
Seeking advice/ opinions!,0
Where to find conferences related to HR / Psychology / OD,3
Would I be a good fit for IO psychology? Would I be interested?,13
Data Analysis & Insights!,7
Is there research around optimal amounts of PTO for employees to take?,23
USA I/O PhD Salary/Stipend,6
Post-Grad Plans,2
Will my GPA kill me in grad school apps?,2
Help developing research question on AI in work,7
Undergrad student looking for advice on the field,13
Business Psych undergraduate,5
Cry for help: thesis on disidentification,11
Research relating to game-based assessments?,14
What to read next?,2
Tests of General Mental Ability for personnel selection that avoid bias?,3
What should I read to learn about pay for performance?,11
Being thick-skinned vis-a-vis enduring toxic culture.,4
Is broad or focused experience better?,9
Job titles/Industry,5
Got a stack of grad school textbooks I’m probably never gonna use again. What’s the best way to donate them?,58
Are performance reviews illegal for global independent contractors?,2
Books for sharing,2
Applying to NSF GRFP?,5
What are the cornerstones of a good onboarding procedure?,8
What’s you’re favorite IO topic from the movie “Office Space” (1999)?,35
Question,9
"Telework satisfaction, wellbeing and performance in the digital era. Lessons learned during COVID-19 lockdown in Spain",9
Question about being a Recruiter for a company such as McKinsey,11
Survey wording question,5
Podcasts for commute,13
Baruch Executive Master in IO,6
What tools do IO Psychologists use?,8
"Bi-Weekly /r/IOpsychology Discussion - What have you been reading, and what do you think of it?",5
SIOP COVID transmission,42
Organizational demography,3
"SIOP after action discussion. Share the good, bad, and memorable thoughts and experiences here.",32
What research/ area/ article should managers in an organization be specifically reading or following?,11
Looking for information on technology-based assessments (preferably systematic reviews or meta-analysis) - any recommendations?,4
What are you working on? - May 2022,7
Suggestions for how to keep up with IO Psychology research? - Specifically meta-analysis and systematic literature reviews,33
Is the Chicago School of professional psychology a bad school?,4
I got accepted to UGAs IOMP!!!,19
Atlanta vs Dallas for IO Jobs,5
Is there any way for getting access to Academy of Mgmt articles (w/o paying for it?) Sci hub doesn't seem to find those articles. pls help,3
Who's at SIOP?,6
"The comments in this thread are so misinformed. As a discipline, how can we do better at demonstrating that pre-hire assessments are valid [not pseudoscience]?",16
"Am I getting paid enough? I recently defended my dissertation after 8 years grad school experience, I was abd for 2 years (thanks COVID), and have been at my company full time for 1.5 years. I’m also required to come into the office full time and live in San Diego. I make 103k base salary…",15
Do I stand a chance?,17
what were your graduate school classes like?,10
Will studying IO be useful for HR? What research can I do in the field of IO to show my interest in HR?,21
Entering IO Psych. profession with a Social Psych. graduate degree,5
A question about Herzberg’s two-factor theory,5
Question: can an undergrad IO degree be used in a sports organization?,6
How do you apply machine learning techniques to IO concepts?,16
Humanitarian Work Psychology,12
Career advice needed please,9
Hello everyone! I did a psychometric test for a company. I googled it but can't find it. I had to draw straight lines (of a character size) and as many as possible during 1min intervals by 5min. Does anyone know what the test is called or what it is for? I attach an example.,21
Jobs in I/O,22
"Looking for studies comparing remote versus office workers' performance. Specifically, something about bias, heuristics, etc. Any suggestions?",16
Scales for Role Ambiguity/Conflict?,1
How do you dress for your job and what type of bag do you use?,16
Looking for highly regarded research on succession planning.,12
Is it crucial to have a business major background prior to MS in IO Psych?,8
Have any of you done freelancing or used Upwork?,11
Research,1
"Bi-Weekly /r/IOpsychology Discussion - What have you been reading, and what do you think of it?",2
How often is social network analysis methods used in IO?,11
Organizational Development Careers/Career Path,6
SIOP Conference First-timer,5
Most Respected/Top IO Psych Programs?,25
Research on Personnel Selection,5
AlixPartners Assessments,3
Building an inclusion network,7
Intern experience,8
Asking for a raise/promotion,17
HELP! Looking to interview an IO Psychologist,8
Anyone Else Having Latency Issues with SIOP Webpage?,6
Career Advice,3
How much writing do you do as an IO psychologist?,11
Good book to start?,2
what is the difference between Industrial and Organizational Psychology?,5
Wharton is hosting a HR data case competition for students. The winner receives $10K USD - check it out!,22
Undergrad Internships,2
Starting a job at a startup where I will be building their HR/People Function from scratch. Which books/research papers should I read?,40
career advice.,0
Undergraduate student going into a IO masters.,4
assessment instrument ideas?,3
The official IO psychology discord!,26
Is there any evidence that psychology graduates are better fakers in personality measures than graduates from other majors? Any thought would be helpful,4
Should I do a master's right after my bachelor degree or get work experience first?,9
SIOP Question,3
Do IO Psychology consulting firms need a PHD?,11
How common is it for I/O psychologists to work with Labor Unions?,25
"Job Opportunity - People, Science, and Strategy Manager, San Francisco Public Utilities Commission",2
Where should I study?,3
how will my clinical research experience in psychology be useful for IO psych field?,8
Testing for employee selection,12
what’s the best field in i/o for introverts?,14
nyc area,1
General Advice Needed,11
How did you structure your CV when applying for research roles in industry?,5
Double major in Psychology and Business Analytics?,15
Does anyone have any articles they really liked for the following 2 topics:,6
How can I specialize in a field that combines I-O psychology but also uses clinical psychology?,13
IO psychology for r/place,6
What is a typical day at work for you I/O psychologists?,35
2022 Grad School Q&A Mega-Thread,27
What are you working on? - April 2022,12
Employee Engagement Surveys…w no demographics?,6
Research into human flourishing?,8
Recommendations on theoretical frameworks,9
SIOP Salary Survey open through April 10!,40
Interactive report on burnout at work — 2 in 5 workers at high risk of burning out [upvote if you can],24
Would anyone in this field be willing to talk to me about what a PhD is like and what happens after?,15
Publicly available I/O datasets for an SEM analysis?,2
A Conceptual Framework of How Meeting Mindsets Shape and Are Shaped by Leader–Follower Interactions in Meetings,2
New US News Rankings,12
Thoughts on University of Houston’s PhD program?,2
Looking for help from I/O R enthusiasts for my upcoming I/O coding Discord community,39
What are your best tips for a junior applying to a mix of masters and PhD programs next fall?,11
Thoughts on MS Org Leadership?,7
UWES Help,6
HR Project Management as a Career Path,8
Help Deciding !,2
Salary as PhD student,10
How to help students understand criterion development?,9
Paul Spector: A New I/O Faculty Retention Problem,32
"Bi-Weekly /r/IOpsychology Discussion - What have you been reading, and what do you think of it?",1
Positive Organizational psychology,12
IO relevant job market in US vs UK,12
"Thinking About Thinking About Work: A Meta-Analysis of Off-Job Positive and Negative Work-Related Thoughts (Journal of Business and Psychology, 2021)",29
Career Pathways - Data?,5
Anyone else finds parameter estimation in psychometrics too tough ?,3
Need to interview a consultant,10
Which undergraduate lab experience will boost my IO Ph.D. application?,10
Graduate Certificate in IO Psychology,15
Looking for entry-level IO Psychology roles in consulting - what kind of keywords should I use to search?,21
if you're looking for io career advice,37
Advice on future job interview?,0
Wondering if things I have done/have lined up could gear me for an IO career?,2
Best places to do an internship,9
What’s your story?,22
Is I/O Psychology Merely Glorified Human Resources?,3
Looking to do qualitative research about organizational culture in tech startups - ideas for specific research questions within this?,1
"IOs that aren't in strictly ""IO Psychology"" roles (like HR Generalist, Talent Acquisition, etc), how do you bring your knowledge of psychology to your role? I'd love some examples!",38
Project Management?,7
Looking for academia to industry perspectives and experiences,15
"What are your thoughts on personality tests' value as a selection tool, whether it be as a hurdle used to screen candidates out of consideration in the hiring process, or used in conjunction with other tools (e.g., work samples, interviews) to help inform final hiring decisions?",20
Skills-Based Hiring,8
So....who's heading to the SIOP Seattle conference in April?,17
What jobs would allow me to conduct research in organizations with only a Master's in IO,11
Advice deciding between REU's,3
Considering a change from Social Work to I/O Psych.,10
High5Test.com Support is the worst,0
Seeking a brief virtual chat with an I/O professional.,9
"Bi-Weekly /r/IOpsychology Discussion - What have you been reading, and what do you think of it?",3
Part-time consulting work?,15
I made a Boolean string for your next job search!,115
Keep up with research?,10
Conferences?,4
Over half of the hiring managers I deal with,42
Employee engagement & integration in a new normal,9
A Novel Approach to Debriefing Medical Simulations: The Six Thinking Hats,2
Is the SIOP Career Center Worth the $$$?,4
Leader Transition Process,5
Looking for Resources and any Thoughts on using Sampling Weights in statistical analyses,5
What are you working on? - March 2022,7
User-generated questions for employee experience surveys?,8
What do IO psychologists really do?,19
Psychometrics Certification,3
Where to get an I/O Psychology License,0
Any advice for this newly admitted ph.d student?,14
"I'm looking for a Big 5 personality test that used either paired comparisons, forced-choice, or rank order techniques instead of the rating scale. Anyone here know of any?",3
Baseline assessment question,7
Is a Communication Studies BA helpful at all for an IO masters degree?,2
Motives and preference,7
The Public's Perception of those Diagnosed with Mental Health Disorders and their Ability to Reliably Testify in Court,1
"Bi-Weekly /r/IOpsychology Discussion - What have you been reading, and what do you think of it?",9
Trends in Organizational Attachment,4
Research trends in work-non work balance .,4
Reasons NOT to become an I/O Psychologist?,27
Research/Internships for Undergrads?,11
Effects of negative behavior or personality focused feedback at the workplace,12
Best pre-employment screening for testing cognition/personality? Preferably one that is free or reasonably priced.,1
How was finding a job for people who have experience in the I/O field?,18
"The Epidemic of Mental Disorders in Business—How Depression, Anxiety, and Stress Spread across Organizations through Employee Mobility",15
How to screen potential employees for conscientiousness without them realizing they're being tested and just putting the answers that the employer is looking for?,8
Michael Kraus drama,17
Intern jobs at PhD levels,2
Request for Resources on Applicant Selection Using Statistical Software,11
Intern Coordinator relevant applied experience?,7
Balancing practice with academia,10
Interesting articles on video-on meetings?,6
What do you wish you knew before your career in I/O psych?,36
IOs working remotely?,2
Request: Interview with an OD specialist,4
Available eBook : Recruitment and selection in Canada 7th edition,13
"In your (subjective or objective) opinion, what are the strengths and weaknesses of OB vs. IO training for academia?",7
Current status of the I/O psychologist in Australia?,5
21st Century Skills Assessments,1
I/O Syllabus,16
Where to start?..,7
"Bi-Weekly /r/IOpsychology Discussion - What have you been reading, and what do you think of it?",3
Hourly rate advice,7
Creating detailed job duties and tasks lists for a dozen positions,7
Tattoos as an IO,13
Organizational loyalty scale?,5
Where are we on leadership development?,8
Tips on focusing on the Organizational aspect in a career with I/O Psychology?,1
Should employees know that you are modeling them?,13
